X_key,Course.ID,EntityType,Name,Length..Hours.,Avg..User.Rating,Total.Enrollments,Total.Ratings,Organiser,Difficulty,Public.URL
Gtv4Xb1-EeS-ViIACwYKVQ,Gtv4Xb1-EeS-ViIACwYKVQ,COURSE,Machine Learning,56,4.9163318497133,2751773,124695,Stanford University,Mixed,https://www.coursera.org/learn/machine-learning
GdeNrll1EeSROyIACtiVvg,GdeNrll1EeSROyIACtiVvg,COURSE,Learning How to Learn: Powerful mental tools to help you master tough subjects,12,4.823394955287324,1900769,49874,"McMaster University, University of California San Diego",Mixed,https://www.coursera.org/learn/learning-how-to-learn
7A1yFTaREeWWBQrVFXqd1w,7A1yFTaREeWWBQrVFXqd1w,COURSE,Programming for Everybody (Getting Started with Python),12,4.834918596406737,963493,74751,University of Michigan,Mixed,https://www.coursera.org/learn/python
W_mOXCrdEeeNPQ68_4aPpA,W_mOXCrdEeeNPQ68_4aPpA,COURSE,Neural Networks and Deep Learning,18,4.892283197428725,492677,67204,deeplearning.ai,Intermediate,https://www.coursera.org/learn/neural-networks-deep-learning
rUHfSakHEeeQ3gpuC4Fs_g,rUHfSakHEeeQ3gpuC4Fs_g,COURSE,The Science of Well-Being,20,4.878779910596897,489355,3803,Yale University,Mixed,https://www.coursera.org/learn/the-science-of-well-being
r0GnHOZaEees-Q6jQMxlrg,r0GnHOZaEees-Q6jQMxlrg,COURSE,What is Data Science?,7,4.66310184356542,161283,22348,IBM,Beginner,https://www.coursera.org/learn/what-is-datascience
h9LqVq-lEeauxBIk_RF-8A,h9LqVq-lEeauxBIk_RF-8A,COURSE,Google Cloud Platform Fundamentals: Core Infrastructure,14,4.720300889826621,208961,21802,Google Cloud,Intermediate,https://www.coursera.org/learn/gcp-fundamentals
dScDad8bEeWNrAqe1RXmgw,dScDad8bEeWNrAqe1RXmgw,COURSE,English for Career Development,22,4.849933155080214,426083,2992,University of Pennsylvania,Mixed,https://www.coursera.org/learn/careerdevelopment
yQcuJCOcEeagwg7hVay0BQ,yQcuJCOcEeagwg7hVay0BQ,COURSE,"Algorithms, Part I",33,4.918836140888208,464761,5877,Princeton University,Intermediate,https://www.coursera.org/learn/algorithms-part1
7sBiclFIEeetjQ5ppGVTyA,7sBiclFIEeetjQ5ppGVTyA,COURSE,Technical Support Fundamentals,20,4.807841595833538,178581,20353,Google,Beginner,https://www.coursera.org/learn/technical-support-fundamentals
daG-a-O1EeijKBISCWxf6g,daG-a-O1EeijKBISCWxf6g,COURSE,AI For Everyone,9,4.848530519969857,218093,7962,deeplearning.ai,Beginner,https://www.coursera.org/learn/ai-for-everyone
SgcGB0YOEeemlQrrzf9X-A,SgcGB0YOEeemlQrrzf9X-A,COURSE,Financial Markets,38,4.837742917349566,217509,4271,Yale University,Beginner,https://www.coursera.org/learn/financial-markets-global
YPGkFhCNEeWvmQrN_lODCw,YPGkFhCNEeWvmQrN_lODCw,COURSE,Finanzas personales,6,4.721604139715395,236804,3865,Universidad Nacional Autónoma de México,Mixed,https://www.coursera.org/learn/finanzas-personales
ejOz7RDUEei99hK0xs-tsg,ejOz7RDUEei99hK0xs-tsg,COURSE,Python for Data Science and AI,12,4.617804855869783,104701,10997,IBM,Beginner,https://www.coursera.org/learn/python-for-applied-data-science-ai
kWGvJivBEeeW5RJUyz1uFA,kWGvJivBEeeW5RJUyz1uFA,COURSE,Convolutional Neural Networks,21,4.852841010933859,199509,27895,deeplearning.ai,Intermediate,https://www.coursera.org/learn/convolutional-neural-networks
eIuy3sp7Eem_qg46ES4SQA,eIuy3sp7Eem_qg46ES4SQA,COURSE,What Is Contemporary Art?,16,4.7,18148,40,The Museum of Modern Art,Beginner,https://www.coursera.org/learn/contemporary-art
BZ5quSvBEee6gA5XksfBbg,BZ5quSvBEee6gA5XksfBbg,COURSE,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",15,4.878306878306878,224808,42147,deeplearning.ai,Beginner,https://www.coursera.org/learn/deep-neural-network
RZ1S0B0MEeacvQ6cODzg5Q,RZ1S0B0MEeacvQ6cODzg5Q,COURSE,Introduction to Data Science in Python,18,4.545381172499817,306913,13629,University of Michigan,Intermediate,https://www.coursera.org/learn/python-data-analysis
8UjeMk-mEeit4g4GsxE4dg,8UjeMk-mEeit4g4GsxE4dg,COURSE,Machine Learning with Python,18,4.695723684210526,74378,5472,IBM,Intermediate,https://www.coursera.org/learn/machine-learning-with-python
P--h6zpNEeWYbg7p2_3OHQ,P--h6zpNEeWYbg7p2_3OHQ,COURSE,Python Data Structures,11,4.869275624591565,322668,39786,University of Michigan,Mixed,https://www.coursera.org/learn/python-data
25Fh8ivBEee6gA5XksfBbg,25Fh8ivBEee6gA5XksfBbg,COURSE,Sequence Models,18,4.799777530589544,159314,18879,deeplearning.ai,Intermediate,https://www.coursera.org/learn/nlp-sequence-models
