Course Link,Title,Short Description,Length,Effort,Price,Institution,Subject,Level,Language,Already Enrolled,,,
https://www.edx.org/course/cs50s-introduction-to-computer-science,CS50's Introduction to Computer Science,An introduction to the intellectual enterprises of computer science and the art of programming.,12 Weeks,6-18 hours per week,$90 USD,HarvardX,Computer Science,Introductory,English,2305618,,,
https://www.edx.org/course/cs50s-web-programming-with-python-and-javascript,CS50's Web Programming with Python and JavaScript,"This course picks up where CS50 leaves off, diving more deeply into the design and implementation of web apps with Python, JavaScript, and SQL using frameworks like Django, React, and Bootstrap.",12 Weeks,6-9 hours per week,$90 USD,HarvardX,Computer Science,Intermediate,English,642502,,,
https://www.edx.org/course/entrepreneurship-in-emerging-economies,Entrepreneurship in Emerging Economies,Explore how entrepreneurship and innovation tackle complex social problems in emerging economies.,6 Weeks,3-5 hours per week,$125 USD,HarvardX,Business & Management,Introductory,English,556259,,,
https://www.edx.org/course/cs50s-introduction-to-game-development,CS50's Introduction to Game Development,Missing,12 Weeks,6-9 hours per week,$149 USD,HarvardX,Computer Science,Intermediate,English,325965,,,
https://www.edx.org/course/rhetoric-art-of-persuasive-writing-public-speaking,Rhetoric: The Art of Persuasive Writing and Public Speaking,Gain critical communication skills in writing and public speaking with this introduction to American political rhetoric.,8 Weeks,2-3 hours per week,$99 USD,HarvardX,Humanities,Introductory,English,294479,,,
https://www.edx.org/course/cs50s-introduction-to-artificial-intelligence-with-python,CS50's Introduction to Artificial Intelligence with Python,Learn to use machine learning in Python in this introductory course on artificial intelligence.,7 Weeks,10-30 hours per week,$199 USD,HarvardX,Computer Science,Introductory,English,219045,,,
https://www.edx.org/course/fundamentals-of-neuroscience-part-1-the-electrical,"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",Learn how electricity makes the neurons in your brain tick.,5 Weeks,3-5 hours per week,$99 USD,HarvardX,Biology & Life Sciences,Introductory,English,362182,,,
https://www.edx.org/course/contract-law-from-trust-to-promise-to-contract,Contract Law: From Trust to Promise to Contract,"Contracts are a part of our everyday life, arising in collaboration, trust, promise and credit. How are contracts formed? What makes a contract enforceable? What happens when one party breaks a promise?",8 Weeks,3-6 hours per week,$125 USD,HarvardX,Business & Management,Intermediate,English,400523,,,
https://www.edx.org/course/data-science-r-basics,Data Science: R Basics,"Build a foundation in R and learn how to wrangle, analyze, and visualize data.",8 Weeks,1-2 hours per week,$49 USD,HarvardX,Data Analysis & Statistics,Introductory,English,493537,,,
https://www.edx.org/course/data-science-machine-learning,Data Science: Machine Learning,Build a movie recommendation system and learn the science behind one of the most popular and successful data science techniques.,8 Weeks,2-4 hours per week,$49 USD,HarvardX,Data Analysis & Statistics,Introductory,English,258162,,,
https://www.edx.org/course/justice-2,Justice,This introduction to moral and political philosophy is one of the most popular courses taught at Harvard College.,12 Weeks,3-6 hours per week,$99 USD,HarvardX,Humanities,Introductory,English,374219,,,
https://www.edx.org/course/child-protection-childrens-rights-in-theory-and-pr,Child Protection: Children's Rights in Theory and Practice,"Learn how to protect children from violence, exploitation, and neglect through law, policy, and practice in a human rights framework.",16 Weeks,2-6 hours per week,$99 USD,HarvardX,Social Sciences,Introductory,English,203139,,,
https://www.edx.org/course/ielts-academic-test-preparation,IELTS Academic Test Preparation,"Prepare for the IELTS Academic tests in this comprehensive, self-paced course covering listening, speaking, reading and writing.",8 Weeks,5-10 hours per week,$99 USD,UQx,Communication,Introductory,English,1058610,,,
https://www.edx.org/course/programming-for-everybody-getting-started-with-pyt,Programming for Everybody (Getting Started with Python),"This course is a ""no prerequisite"" introduction to Python Programming. You will learn about variables, conditional execution, repeated execution and how we use functions. The homework is done in a web browser so you can do all of the programming assignments on a phone or public computer.",7 Weeks,2-4 hours per week,$49 USD,MichiganX,Computer Science,Introductory,English,265266,,,
https://www.edx.org/course/principles-of-biochemistry,Principles of Biochemistry,"This introduction to biochemistry explores the molecules of life, starting at simple building blocks and culminating in complex metabolism.",15 Weeks,4-6 hours per week,$199 USD,HarvardX,Medicine,Intermediate,English,248524,,,
https://www.edx.org/course/using-python-for-research,Using Python for Research,Take your introductory knowledge of Python programming to the next level and learn how to use Python 3 for your research.,12 Weeks,2-4 hours per week,$99 USD,HarvardX,Computer Science,Intermediate,English,255056,,,
https://www.edx.org/course/the-architectural-imagination,The Architectural Imagination,Learn fundamental principles of architecture — as an academic subject or a professional career — by studying some of history’s most important buildings.,10 Weeks,3-5 hours per week,$99 USD,HarvardX,Architecture,Introductory,English,393795,,,
https://www.edx.org/course/toefl-test-preparation-the-insiders-guide,TOEFL® Test Preparation: The Insider’s Guide,Prepare for the TOEFL® test and learn how to improve your score and English language skills from the experts who create the exam.,6 Weeks,2-4 hours per week,$49 USD,ETSx,Communication,Introductory,English,982514,,,
https://www.edx.org/course/science-cooking-from-haute-cuisine-to-soft-matter,Science & Cooking: From Haute Cuisine to Soft Matter Science (chemistry),"Top chefs and Harvard researchers explore how everyday cooking and haute cuisine can illuminate basic principles in chemistry, physics, and engineering. Learn about food molecules and how chemical reactions can affect food texture and flavor.",16 Weeks,2-3 hours per week,$99 USD,HarvardX,Chemistry,Introductory,English,138495,,,
https://www.edx.org/course/how-to-learn-online,How to Learn Online,Learn essential strategies for successful online learning,2 Weeks,2-3 hours per week,$49 USD,edX,Education & Teacher Training,Introductory,English,105053,,,
https://www.edx.org/course/basic-spanish-1-getting-started,Basic Spanish 1: Getting Started,"Learn Spanish and explore Spanish culture in this introductory language course, designed for English speakers.",7 Weeks,4-5 hours per week,$40 USD,UPValenciaX,Communication,Introductory,English,383075,,,
https://www.edx.org/course/hinduism-through-its-scriptures,Hinduism Through Its Scriptures,"Learn about the rich diversity of Hindu sacred texts – hymns, narratives, philosophical thought – and their interpretations.",4 Weeks,5-10 hours per week,$49 USD,HarvardX,Humanities,Introductory,English,137618,,,
https://www.edx.org/course/python-basics-for-data-science,Python Basics for Data Science,"This Python course provides a beginner-friendly introduction to Python for Data Science. Practice through lab exercises, and you'll be ready to create your first Python scripts on your own!",1 Weeks,2-5 hours per week,$39 USD,IBM,Data Analysis & Statistics,Introductory,English,209843,,,
https://www.edx.org/course/statistics-and-r,Statistics and R,An introduction to basic statistical concepts and R programming skills necessary for analyzing data in the life sciences.,4 Weeks,2-4 hours per week,$249 USD,HarvardX,Data Analysis & Statistics,Intermediate,English,307587,,,
https://www.edx.org/course/introduction-to-data-analysis-using-excel-2,Introduction to Data Analysis using Excel,"Learn the basics of Excel, one of the most popular data analysis tools, to help visualize and gain insights from your data.",4 Weeks,2-4 hours per week,$99 USD,Microsoft,Data Analysis & Statistics,Introductory,English,618587,,,
https://www.edx.org/course/the-health-effects-of-climate-change,The Health Effects of Climate Change,"Learnhow global warming impacts human health, and the wayswe can diminish those impacts.",7 Weeks,3-5 hours per week,$99 USD,HarvardX,Environmental Studies,Introductory,English,104824,,,
https://www.edx.org/course/pyramids-of-giza-ancient-egyptian-art-and-archaeol,Pyramids of Giza: Ancient Egyptian Art and Archaeology,"Explore the archaeology, history, art, and hieroglyphs surrounding the famous Egyptian Pyramids at Giza. Learn about Old Kingdom pharaohs and elites, tombs, temples, the Sphinx, and how new technology is unlocking their secrets.",8 Weeks,2-4 hours per week,$99 USD,HarvardX,Art & Culture,Introductory,English,117586,,,
https://www.edx.org/course/lessons-from-ebola-preventing-the-next-pandemic,Lessons from Ebola: Preventing the Next Pandemic,"Understanding the context for the Ebola outbreak: What went right, what went wrong, and how we can all do better.",4 Weeks,3-5 hours per week,$49 USD,HarvardX,Social Sciences,Introductory,English,88431,,,
https://www.edx.org/course/data-science-visualization,Data Science: Visualization,Learn basic data visualization principles and how to apply them using ggplot2.,8 Weeks,1-2 hours per week,$49 USD,HarvardX,Data Analysis & Statistics,Introductory,English,161876,,,
https://www.edx.org/course/excel-fundamentos-y-herramientas,Excel: Fundamentos y herramientas,"En este curso aprenderás las herramientas más habituales de Microsoft Excel, desde lo más básico a los gráficos, funciones y tablas de datos.",8 Weeks,3-4 hours per week,$50 USD,UPValenciaX,Computer Science,Introductory,Español,266829,,,
https://www.edx.org/course/omens-oracles-prophecies,"PredictionX: Omens, Oracles & Prophecies","This course is an overview of divination systems, ranging from ancient Chinese bone burning to modern astrology.",1 Weeks,3-5 hours per week,$25 USD,HarvardX,Social Sciences,Introductory,English,85081,,,
https://www.edx.org/course/cs50-for-lawyers,CS50 for Lawyers,Missing,10 Weeks,3-6 hours per week,$99 USD,HarvardX,Computer Science,Introductory,English,83087,,,
https://www.edx.org/course/improving-global-health-focusing-on-quality-and-sa,Improving Global Health: Focusing on Quality and Safety,An introduction to the emerging field of global healthcare quality.,10 Weeks,2-4 hours per week,$99 USD,HarvardX,Social Sciences,Intermediate,English,124389,,,
https://www.edx.org/course/christianity-through-its-scriptures,Christianity Through Its Scriptures,"Learn about Christianity through a study of its sacred scriptures. We will explore how diverse Christians have interpreted these writings and practiced their teachings over a 2000 year, global history.",4 Weeks,5-10 hours per week,$49 USD,HarvardX,Humanities,Introductory,English,122091,,,
https://www.edx.org/course/introduction-to-data-wise-a-collaborative-process,Introduction to Data Wise: A Collaborative Process to Improve Learning & Teaching,Missing,10 Weeks,1-2 hours per week,$70 USD,HarvardX,Education & Teacher Training,Intermediate,English,115722,,,
https://www.edx.org/course/leaders-of-learning,Leaders of Learning,Explore and understand your own theories of learning and leadership. Gain the tools to imagine and build the future of learning.,10 Weeks,2-4 hours per week,$99 USD,HarvardX,Communication,Introductory,English,223565,,,
https://www.edx.org/course/english-grammar-and-style,English Grammar and Style,Learn key concepts and strategies in grammar and style to help enhance your writing and confidently respond to the demand of high levels of literacy in the 21st century.,8 Weeks,3-4 hours per week,$99 USD,UQx,Humanities,Introductory,English,653694,,,
https://www.edx.org/course/data-science-probability,Data Science: Probability,Learn probability theory -- essential for a data scientist -- using a case study on the financial crisis of 2007-2008.,8 Weeks,1-2 hours per week,$49 USD,HarvardX,Data Analysis & Statistics,Introductory,English,128575,,,
https://www.edx.org/course/the-science-of-happiness-3,The Science of Happiness,"The first MOOC to teach positive psychology. Learn science-based principles and practices for a happy, meaningful life.",11 Weeks,4-5 hours per week,$139 USD,BerkeleyX,Social Sciences,Introductory,English,468792,,,
https://www.edx.org/course/prescription-drug-regulation-cost-and-access-curre,"Prescription Drug Regulation, Cost, and Access: Current Controversies in Context","Understand how the FDA regulates pharmaceuticals and explore debates on prescription drug costs, marketing, and testing.",8 Weeks,2-5 hours per week,$99 USD,HarvardX,Medicine,Introductory,English,76787,,,
https://www.edx.org/course/analyzing-and-visualizing-data-with-excel-2,Analyzing and Visualizing Data with Excel,"Develop your skills with Excel, one of the common tools that data scientists depend on to gather, transform, analyze, and visualize data.",6 Weeks,2-4 hours per week,$99 USD,Microsoft,Business & Management,Intermediate,English,865855,,,
