"","X_key","Course.ID","EntityType","Name","Length..Hours.","Avg..User.Rating","Total.Enrollments","Total.Ratings","Organiser","Difficulty","Public.URL","uni"
"8","W_mOXCrdEeeNPQ68_4aPpA","W_mOXCrdEeeNPQ68_4aPpA","COURSE","Neural Networks and Deep Learning",18,4.89228319742872,492677,67204,"deeplearning.ai","Intermediate","https://www.coursera.org/learn/neural-networks-deep-learning",FALSE
"11","r0GnHOZaEees-Q6jQMxlrg","r0GnHOZaEees-Q6jQMxlrg","COURSE","What is Data Science?",7,4.66310184356542,161283,22348,"IBM","Beginner","https://www.coursera.org/learn/what-is-datascience",FALSE
"20","h9LqVq-lEeauxBIk_RF-8A","h9LqVq-lEeauxBIk_RF-8A","COURSE","Google Cloud Platform Fundamentals: Core Infrastructure",14,4.72030088982662,208961,21802,"Google Cloud","Intermediate","https://www.coursera.org/learn/gcp-fundamentals",FALSE
"26","7sBiclFIEeetjQ5ppGVTyA","7sBiclFIEeetjQ5ppGVTyA","COURSE","Technical Support Fundamentals",20,4.80784159583354,178581,20353,"Google","Beginner","https://www.coursera.org/learn/technical-support-fundamentals",FALSE
"27","daG-a-O1EeijKBISCWxf6g","daG-a-O1EeijKBISCWxf6g","COURSE","AI For Everyone",9,4.84853051996986,218093,7962,"deeplearning.ai","Beginner","https://www.coursera.org/learn/ai-for-everyone",FALSE
"33","ejOz7RDUEei99hK0xs-tsg","ejOz7RDUEei99hK0xs-tsg","COURSE","Python for Data Science and AI",12,4.61780485586978,104701,10997,"IBM","Beginner","https://www.coursera.org/learn/python-for-applied-data-science-ai",FALSE
"34","kWGvJivBEeeW5RJUyz1uFA","kWGvJivBEeeW5RJUyz1uFA","COURSE","Convolutional Neural Networks",21,4.85284101093386,199509,27895,"deeplearning.ai","Intermediate","https://www.coursera.org/learn/convolutional-neural-networks",FALSE
"36","eIuy3sp7Eem_qg46ES4SQA","eIuy3sp7Eem_qg46ES4SQA","COURSE","What Is Contemporary Art?",16,4.7,18148,40,"The Museum of Modern Art","Beginner","https://www.coursera.org/learn/contemporary-art",FALSE
"38","BZ5quSvBEee6gA5XksfBbg","BZ5quSvBEee6gA5XksfBbg","COURSE","Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",15,4.87830687830688,224808,42147,"deeplearning.ai","Beginner","https://www.coursera.org/learn/deep-neural-network",FALSE
"40","8UjeMk-mEeit4g4GsxE4dg","8UjeMk-mEeit4g4GsxE4dg","COURSE","Machine Learning with Python",18,4.69572368421053,74378,5472,"IBM","Intermediate","https://www.coursera.org/learn/machine-learning-with-python",FALSE
"43","25Fh8ivBEee6gA5XksfBbg","25Fh8ivBEee6gA5XksfBbg","COURSE","Sequence Models",18,4.79977753058954,159314,18879,"deeplearning.ai","Intermediate","https://www.coursera.org/learn/nlp-sequence-models",FALSE
