,name,disc,college
1,Turbomachinery Aerodynamics,Aerospace Engineering,IIT Bombay
2,Introduction to Aerospace Engineering,Aerospace Engineering,IIT Bombay
3,Introduction to Aircraft Design,Aerospace Engineering,IIT Bombay
4,Introduction to Launch Vehicle Analysis and Design,Aerospace Engineering,IIT Bombay
5,Lighter than Air Systems,Aerospace Engineering,IIT Bombay
6,Advanced Control System Design for Aerospace Vehicles,Aerospace Engineering,IISc Bangalore
7,Guidance of Missiles,Aerospace Engineering,IISc Bangalore
8,"Navigation, Guidance, And Control",Aerospace Engineering,IISc Bangalore
9,"Optimal Control, Guidance and Estimation",Aerospace Engineering,IISc Bangalore
10,Combustion in air breathing aero engines,Aerospace Engineering,IISc Bangalore
11,Acoustic Instabilities in Aerospace Propulsion,Aerospace Engineering,IIT Madras
12,Aerospace Propulsion,Aerospace Engineering,IIT Madras
13,Airplane design (Aerodynamic),Aerospace Engineering,IIT Madras
14,Combustion,Aerospace Engineering,IIT Madras
15,Composite Materials,Aerospace Engineering,IIT Madras
16,Gasdynamics: Fundamentals and Applications,Aerospace Engineering,IISc Bangalore
17,Experimental Gas/Aerodynamics,Aerospace Engineering,IIT Madras
18,Flight dynamics I - Airplane performance,Aerospace Engineering,IIT Madras
19,Flight Dynamics II (Stability),Aerospace Engineering,IIT Madras
20,Flight dynamics II - Airplane stability and control,Aerospace Engineering,IIT Madras
21,Gas Dynamics,Aerospace Engineering,IIT Madras
22,Introduction to CFD,Aerospace Engineering,IIT Madras
23,Aircraft Structural Dynamics,Aerospace Engineering,IIT Kharagpur
24,Space Technology,Aerospace Engineering,IIT Madras
25,High Speed Aero Dynamics,Aerospace Engineering,IIT Kharagpur
26,High Speed Aero Dynamics,Aerospace Engineering,IIT Kharagpur
27,Aero elasticity,Aerospace Engineering,IIT Kanpur
28,Space Flight Mechanics,Aerospace Engineering,IIT Kharagpur
29,Space Flight Mechanics,Aerospace Engineering,IIT Kharagpur
30,"Aircraft Performance, Stability and control with experiments in Flight",Aerospace Engineering,IIT Kanpur
31,Composite Materials and Structures,Aerospace Engineering,IIT Kanpur
32,Introduction to Turbulent Flows and their prediction,Aerospace Engineering,IIT Madras
33,Foundation of Scientific Computing,Aerospace Engineering,IIT Kanpur
