,X_key,Course.ID,EntityType,Name,Length..Hours.,Avg..User.Rating,Total.Enrollments,Total.Ratings,Organiser,Difficulty,Public.URL,uni
1,Gtv4Xb1-EeS-ViIACwYKVQ,Gtv4Xb1-EeS-ViIACwYKVQ,COURSE,Machine Learning,56,4.91633185,2751773,124695,Stanford University,Mixed,https://www.coursera.org/learn/machine-learning,TRUE
5,GdeNrll1EeSROyIACtiVvg,GdeNrll1EeSROyIACtiVvg,COURSE,Learning How to Learn: Powerful mental tools to help you master tough subjects,12,4.823394955,1900769,49874,McMaster University,Mixed,https://www.coursera.org/learn/learning-how-to-learn,TRUE
7,7A1yFTaREeWWBQrVFXqd1w,7A1yFTaREeWWBQrVFXqd1w,COURSE,Programming for Everybody (Getting Started with Python),12,4.834918596,963493,74751,University of Michigan,Mixed,https://www.coursera.org/learn/python,TRUE
10,rUHfSakHEeeQ3gpuC4Fs_g,rUHfSakHEeeQ3gpuC4Fs_g,COURSE,The Science of Well-Being,20,4.878779911,489355,3803,Yale University,Mixed,https://www.coursera.org/learn/the-science-of-well-being,TRUE
22,dScDad8bEeWNrAqe1RXmgw,dScDad8bEeWNrAqe1RXmgw,COURSE,English for Career Development,22,4.849933155,426083,2992,University of Pennsylvania,Mixed,https://www.coursera.org/learn/careerdevelopment,TRUE
24,yQcuJCOcEeagwg7hVay0BQ,yQcuJCOcEeagwg7hVay0BQ,COURSE,"Algorithms, Part I",33,4.918836141,464761,5877,Princeton University,Intermediate,https://www.coursera.org/learn/algorithms-part1,TRUE
28,SgcGB0YOEeemlQrrzf9X-A,SgcGB0YOEeemlQrrzf9X-A,COURSE,Financial Markets,38,4.837742917,217509,4271,Yale University,Beginner,https://www.coursera.org/learn/financial-markets-global,TRUE
30,YPGkFhCNEeWvmQrN_lODCw,YPGkFhCNEeWvmQrN_lODCw,COURSE,Finanzas personales,6,4.72160414,236804,3865,Universidad Nacional Autónoma de México,Mixed,https://www.coursera.org/learn/finanzas-personales,TRUE
39,RZ1S0B0MEeacvQ6cODzg5Q,RZ1S0B0MEeacvQ6cODzg5Q,COURSE,Introduction to Data Science in Python,18,4.545381172,306913,13629,University of Michigan,Intermediate,https://www.coursera.org/learn/python-data-analysis,TRUE
42,P--h6zpNEeWYbg7p2_3OHQ,P--h6zpNEeWYbg7p2_3OHQ,COURSE,Python Data Structures,11,4.869275625,322668,39786,University of Michigan,Mixed,https://www.coursera.org/learn/python-data,TRUE
46,jJ6ZxPrdEee5DBIdFhoH_A,jJ6ZxPrdEee5DBIdFhoH_A,COURSE,Introduction to Psychology,20,4.858445506,94155,2303,Yale University,Beginner,https://www.coursera.org/learn/introduction-psychology,TRUE
47,3G1aij8iEeWKOBLv1z6n9w,3G1aij8iEeWKOBLv1z6n9w,COURSE,First Step Korean,12,4.825456941,249258,6073,Yonsei University,Beginner,https://www.coursera.org/learn/learn-korean,TRUE
48,v0l76HmGEeSi3yIACzSGcw,v0l76HmGEeSi3yIACzSGcw,COURSE,Successful Negotiation: Essential Strategies and Skills,15,4.744490677,587266,6489,University of Michigan,Mixed,https://www.coursera.org/learn/negotiation-skills,TRUE
51,xMqZG1wyEeWd6BJKWlaBIw,xMqZG1wyEeWd6BJKWlaBIw,COURSE,Stanford Introduction to Food and Health,4,4.688689915,269592,10610,Stanford University,Beginner,https://www.coursera.org/learn/food-and-health,TRUE
57,_uJaK-gwEeaksw4f8WaZLg,_uJaK-gwEeaksw4f8WaZLg,COURSE,Excel Skills for Business: Essentials,19,4.866365688,107791,6645,Macquarie University,Beginner,https://www.coursera.org/learn/excel-essentials,TRUE
61,Y4DUPDpQEeWO-Qq6rEZAow,Y4DUPDpQEeWO-Qq6rEZAow,COURSE,Using Python to Access Web Data,16,4.792958821,251464,23604,University of Michigan,Mixed,https://www.coursera.org/learn/python-network-data,TRUE
